ioc_id,ioc_ip,ioc_port,ioc,threat_desc,threat_source,threat_category,first_seen_utc,create_time,last_seen_utc
1075217,185.198.57.164,7443,Unknown malware,unknown,TF_drb_ra,botnet_cc,2023-01-30 06:45:57,1675262394,2023-01-30 06:45:57
1075218,34.215.75.141,7443,Unknown malware,unknown,TF_drb_ra,botnet_cc,2023-01-30 06:46:08,1675262394,2023-01-30 06:46:08
1075219,50.17.196.251,7443,Unknown malware,unknown,TF_drb_ra,botnet_cc,2023-01-30 06:46:10,1675262394,2023-01-30 06:46:10
1075220,112.29.177.7,10036,Deimos,win.deimos,TF_drb_ra,botnet_cc,2023-01-30 06:46:23,1675262394,2023-01-30 06:46:23
1075221,112.29.177.42,10036,Deimos,win.deimos,TF_drb_ra,botnet_cc,2023-01-30 06:46:26,1675262394,2023-01-30 06:46:26
1075222,112.29.177.69,10036,Deimos,win.deimos,TF_drb_ra,botnet_cc,2023-01-30 06:46:27,1675262394,2023-01-30 06:46:27
1075223,112.29.177.79,10036,Deimos,win.deimos,TF_drb_ra,botnet_cc,2023-01-30 06:46:32,1675262394,2023-01-30 06:46:32
1075224,112.29.177.104,10036,Deimos,win.deimos,TF_drb_ra,botnet_cc,2023-01-30 06:46:32,1675262394,2023-01-30 06:46:32
1075225,176.122.155.194,8888,Deimos,win.deimos,TF_drb_ra,botnet_cc,2023-01-30 06:46:45,1675262394,2023-01-30 06:46:45
1075226,170.187.197.210,47271,RedLine Stealer,win.redline_stealer,TF_abuse_ch,botnet_cc,2023-01-30 06:55:22,1675262394,2023-01-30 06:55:22
1075229,116.203.6.107,80,Vidar,win.vidar,TF_Ishusoka,botnet_cc,2023-01-30 08:16:30,1675262394,2023-01-30 08:16:30
1075231,91.193.75.131,1990,Nanocore RAT,win.nanocore,TF_abuse_ch,botnet_cc,2023-01-30 09:55:27,1675262394,2023-01-30 09:55:27
1075246,62.204.41.203,443,Unknown malware,unknown,TF_abuse_ch,botnet_cc,2023-01-30 10:07:13,1675262394,2023-01-30 10:07:13
1075258,124.248.67.68,21842,NjRAT,win.njrat,TF_abuse_ch,botnet_cc,2023-01-30 11:10:33,1675262394,2023-01-30 11:10:33
1075259,89.22.234.180,40608,RedLine Stealer,win.redline_stealer,TF_abuse_ch,botnet_cc,2023-01-30 11:15:36,1675262394,2023-01-30 11:15:36
1075262,82.157.62.138,80,Cobalt Strike,win.cobalt_strike,TF_drb_ra,botnet_cc,2023-01-30 11:33:33,1675262394,2023-01-30 11:33:33
1075266,94.142.138.3,80,Raccoon,win.raccoon,TF_Iamdeadlyz,botnet_cc,2023-01-30 12:29:33,1675262394,2023-01-30 12:29:33
1075267,45.15.156.187,80,Aurora Stealer,win.aurora_stealer,TF_abuse_ch,botnet_cc,2023-01-30 12:36:02,1675262394,2023-01-31 17:12:03
1075268,45.15.156.172,80,Aurora Stealer,win.aurora_stealer,TF_abuse_ch,botnet_cc,2023-01-30 12:36:02,1675262394,2023-01-31 17:12:03
1075269,45.15.156.153,80,Aurora Stealer,win.aurora_stealer,TF_abuse_ch,botnet_cc,2023-01-30 12:36:02,1675262394,2023-01-31 17:12:03
1075270,45.9.74.11,80,Aurora Stealer,win.aurora_stealer,TF_abuse_ch,botnet_cc,2023-01-30 12:36:02,1675262394,2023-01-31 17:12:04
1075271,5.75.144.249,80,Aurora Stealer,win.aurora_stealer,TF_abuse_ch,botnet_cc,2023-01-30 12:36:02,1675262394,2023-01-31 17:12:04
1075272,176.124.214.54,80,Aurora Stealer,win.aurora_stealer,TF_abuse_ch,botnet_cc,2023-01-30 12:36:03,1675262394,2023-01-31 17:12:04
1075273,185.246.220.60,80,Loki Password Stealer (PWS),win.lokipws,TF_abuse_ch,botnet_cc,2023-01-30 12:36:03,1675262394,2023-01-31 17:12:04
1075284,212.193.30.14,8080,Cobalt Strike,win.cobalt_strike,TF_abuse_ch,botnet_cc,2023-01-30 13:32:02,1675262394,2023-01-31 17:00:21
1075285,210.209.123.100,443,Cobalt Strike,win.cobalt_strike,TF_abuse_ch,botnet_cc,2023-01-30 13:32:03,1675262394,2023-01-31 17:00:22
1075286,107.172.206.242,9990,Cobalt Strike,win.cobalt_strike,TF_abuse_ch,botnet_cc,2023-01-30 13:32:03,1675262394,2023-01-31 17:00:22
1075287,176.10.111.175,8443,Cobalt Strike,win.cobalt_strike,TF_abuse_ch,botnet_cc,2023-01-30 13:32:03,1675262394,2023-01-31 17:00:23
1075288,75.127.13.147,80,Cobalt Strike,win.cobalt_strike,TF_abuse_ch,botnet_cc,2023-01-30 13:32:03,1675262394,2023-01-31 17:00:23
1075289,81.70.11.25,9999,Cobalt Strike,win.cobalt_strike,TF_abuse_ch,botnet_cc,2023-01-30 13:32:04,1675262394,2023-01-31 14:00:17
1075290,212.193.30.14,443,Cobalt Strike,win.cobalt_strike,TF_abuse_ch,botnet_cc,2023-01-30 13:32:04,1675262394,2023-01-31 14:00:17
1075291,124.223.49.76,8080,Cobalt Strike,win.cobalt_strike,TF_abuse_ch,botnet_cc,2023-01-30 13:32:04,1675262394,2023-01-31 14:00:18
